"ident",  "country", "latitude_deg", "longitude_deg"
FEWER, ALABAMA, 34.3108, -86.7214
FIBAV, ALABAMA, 32.5994, -86.4608
FIBER, ALABAMA, 33.6283, -87.2817
FIDAV, ALABAMA, 33.7931, -85.7317
FIKOX, ALABAMA, 34.0472, -85.9258
FINOP, ALABAMA, 34.9058, -85.9314
FIPMI, ALABAMA, 33.3031, -87.4525
FIRLO, ALABAMA, 34.4289, -86.1956
FIRSA, ALABAMA, 34.2317, -87.6019
FISRO, ALABAMA, 34.3608, -86.825
FITAV, ALABAMA, 30.5406, -87.8617
FITTZ, ALABAMA, 32.1514, -86.0042
FLOSY, ALABAMA, 33.0836, -87.7497
FNISH, ALABAMA, 33.4511, -85.5644
FNLEY, ALABAMA, 32.7008, -86.0911
FOCEY, ALABAMA, 34.3817, -85.9481
FODUN, ALABAMA, 32.4589, -85.1958
FOGUM, ALABAMA, 34.1069, -87.8233
FOLSO, ALABAMA, 34.19, -86.9206
FONGU, ALABAMA, 31.4278, -87.3681
FONKU, ALABAMA, 33.1725, -86.3942
FOUTS, ALABAMA, 31.3258, -85.8233
FOVID, ALABAMA, 31.3669, -87.9144
FOYGU, ALABAMA, 34.1692, -86.3364
FRDDO, ALABAMA, 32.3217, -86.4469
FULTY, ALABAMA, 31.8947, -86.2589
GACBU, ALABAMA, 33.4486, -86.1533
GADAY, ALABAMA, 31.0411, -86.1339
GARON, ALABAMA, 30.6822, -88.1389
GAYEC, ALABAMA, 34.1897, -86.0847
GENDE, ALABAMA, 34.8064, -86.8247
GEPDE, ALABAMA, 34.5947, -86.7664
GESTS, ALABAMA, 34.2925, -86.0683
GETEC, ALABAMA, 34.7681, -86.7797
GETME, ALABAMA, 34.0189, -87.1744
GEVBE, ALABAMA, 30.2903, -87.6261
GICEG, ALABAMA, 34.9006, -85.7822
GIFFY, ALABAMA, 33.2219, -85.6689
GIKEY, ALABAMA, 30.8944, -88.3047
GILLE, ALABAMA, 35.0072, -87.4808
GIMLY, ALABAMA, 32.5036, -85.1131
GITEC, ALABAMA, 32.3117, -86.5161
GOCCI, ALABAMA, 34.7806, -87.5261
GOKYE, ALABAMA, 33.1731, -86.5128
GOLLM, ALABAMA, 31.8533, -85.3728
GONDR, ALABAMA, 32.3669, -85.7658
GOOGY, ALABAMA, 34.0272, -87.6919
GOPDE, ALABAMA, 32.42, -85.0608
GOPPO, ALABAMA, 34.2344, -86.2481
GOSSE, ALABAMA, 33.3525, -86.0231
GOTBY, ALABAMA, 33.2903, -86.7456
GOUBR, ALABAMA, 33.9433, -86.0233
GRGIA, ALABAMA, 33.0769, -86.5675
GRIIN, ALABAMA, 33.2394, -88.1161
GUBRE, ALABAMA, 33.2658, -87.7036
GUCTE, ALABAMA, 30.64, -87.8425
GUFLO, ALABAMA, 33.4186, -87.0069
GULCH, ALABAMA, 32.2103, -86.2075
GULNE, ALABAMA, 31.3528, -85.7519
GUMMP, ALABAMA, 33.0756, -86.6183
